name,address,phone,permit_type,score,date
TAZIKI'S ATHENS MEDITERRANEAN RESTAURANT,"227 PRINCE AVE ATHENS, GA 30601", (706) 247-7619, FS, 82, 09-15-2020
"LATINO'S TAQUERIA Y MARISCOS, LLC","400 HAWTHORNE AVE STE 12 ATHENS, GA 30606", (706) 224-4018, FS, 76, 09-15-2020
INOKO EXPRESS,"3190 ATLANTA HWY STE 7 ATHENS, GA 30606", (706) 425-8828, FS, 91, 09-14-2020
IHOP,"1180 BAXTER ST ATHENS, GA 30606", (706) 354-1356, FS, 95, 09-14-2020
JITTERY JOE'S AT ST. MARY'S,"1230 BAXTER ST ATHENS, GA 30606", (678) 308-5898, FS, 96, 09-11-2020
DOMINO'S,"396 BAXTER ST ATHENS, GA 30601", (706) 543-3460, FS, 95, 09-10-2020
CAPTAIN D'S,"3597 ATLANTA HWY ATHENS, GA 30606", (706) 548-8395, FS, 93, 09-10-2020
LOCAL 706,"1676 S LUMPKIN ST ATHENS, GA 30606",, FS, 100, 09-10-2020
THE CRAB HUT,"1860 BARNETT SHOALS RD STE 501 ATHENS, GA 30605", (678) 477-4930, FS, 100, 09-10-2020
KELLY'S AUTHENTIC JAMAICAN FOOD,"1583 LUMPKIN ST ATHENS, GA 30606", (706) 208-0000, FS, 90, 09-09-2020
WNB FACTORY OF ATHENS,"4375 LEXINGTON RD STE C-11 ATHENS, GA 30605",, FS, 90, 09-09-2020
MANDARIN EXPRESS,"3700 ATLANTA HWY STE FC-3 ATHENS, GA 30606", (706) 353-7899, FS, 84, 09-08-2020
ZAXBY'S,"2255 W BROAD ST ATHENS, GA 30601", (706) 613-6677, FS, 96, 09-08-2020
HODGSON'S PHARMACY,"1260 S MILLEDGE AVE STE F1 ATHENS, GA 30605", (706) 543-7386, FS, 100, 09-08-2020
MENCHIE'S FROZEN YOGURT,"196 ALPS RD STE 5 ATHENS, GA 30606", (706) 208-7223, FS, 100, 09-04-2020
JITTERY JOE'S,"1480 BAXTER ST ATHENS, GA 30606", (706) 548-1099, FS, 99, 09-04-2020
STARBUCKS KROGER,"191 ALPS RD ATHENS, GA 30606", (706) 543-0209, FS, 100, 09-04-2020
SONIC DRIVE IN,"4275 ATLANTA HWY ATHENS, GA 30606", (706) 227-0964, FS, 89, 09-03-2020
DING TEA,"125 W WASHINGTON ST STE 121 ATHENS, GA 30601",, FS, 100, 09-02-2020
PRINCETON FARMS,"1341 PRINCETON FARMS DR ATHENS, GA 30606",, SP, 100, 09-02-2020
RUSAN'S,"196 ALPS RD STE 22 ATHENS, GA 30606", (706) 552-0488, FS, 90, 09-01-2020
BURGER KING #3646,"3740 ATLANTA HWY ATHENS, GA 30606", (706) 400-6351, FS, 95, 09-01-2020
LULLWATER AT JENNINGS MILL,"225 JENNINGS MILL PKWY ATHENS, GA 30606",, SP, 100, 09-01-2020
TRAPPEZE PUB,"269 N HULL ST STE 6 ATHENS, GA 30601", (706) 543-8997, FS, 100, 09-01-2020
"WAFFLE HOUSE, INC. #1936","140 W CLAYTON ST ATHENS, GA 30601", (706) 353-2171, FS, 94, 08-31-2020
D.P. DOUGH,"180 W BROAD ST ATHENS, GA 30601", (706) 842-2828, FS, 93, 08-31-2020
SAKURA STEAK HOUSE,"3557 ATLANTA HWY ATHENS, GA 30606", (706) 227-0001, FS, 94, 08-31-2020
CARRABBA'S ITALIAN GRILL,"3194 ATLANTA HWY ATHENS, GA 30606", (706) 546-9938, FS, 92, 08-28-2020
MIFFLIN'S HOUSE,"2467 JEFFERSON RD ATHENS, GA 30607", (706) 850-6806, FS, 78, 08-27-2020
POPEYES LOUISIANA KITCHEN,"3160 ATLANTA HWY ATHENS, GA 30606", (706) 247-5414, FS, 93, 08-27-2020
MCDONALD'S,"475 N 29 HWY ATHENS, GA 30601", (706) 549-0067, FS, 93, 08-27-2020
SAINT MARY'S HEALTH CARE SYSTEM,"1230 BAXTER ST ATHENS, GA 30606", (706) 389-3665, FS, 86, 08-26-2020
PEPPINO'S PIZZERIA,"950 WHITEHALL RD ATHENS, GA 30605", (706) 613-1616, FS, 93, 08-26-2020
CHICK-FIL-A,"1870 BARNETT SHOALS RD ATHENS, GA 30605", (706) 549-0111, FS, 96, 08-25-2020
AMICI ITALIAN CAFE,"233 E CLAYTON ST ATHENS, GA 30601", (706) 353-0000, FS, 89, 08-25-2020
STARBUCKS - KROGER STORE GA-255,"2301 COLLEGE STATION RD ATHENS, GA 30605", (770) 496-7539, FS, 96, 08-25-2020
RED LOBSTER #0036,"1956 W BROAD ST ATHENS, GA 30606", (706) 549-5376, FS, 90, 08-24-2020
PITA PIT,"123 N JACKSON ST ATHENS, GA 30601", (706) 552-0051, FS, 100, 08-24-2020
ARBY'S,"2010 BARNETT SHOALS RD ATHENS, GA 30605", (706) 353-3154, FS, 88, 08-21-2020
INOKO HIBACHI EXPRESS EASTSIDE,"1860 BARNETT SHOALS RD STE 304 ATHENS, GA 30605", (706) 546-5662, FS, 80, 08-20-2020
KFC,"3196 ATLANTA HWY ATHENS, GA 30606", (706) 548-9920, FS, 93, 08-20-2020
BEN & JERRY'S,"105 COLLEGE AVE ATHENS, GA 30601",, FS, 94, 08-20-2020
MARTIS AT MIDDAY (NEW),"1280 PRINCE AVE ATHENS, GA 30606", (706) 543-3541, FS, 100, 08-20-2020
BARBERITOS,"680 N 29 HWY STE 250 ATHENS, GA 30601", (706) 543-5299, FS, 92, 08-19-2020
SMOOTHIE KING,"1591 SOUTH LUMPKIN ST ATHENS, GA 30605", (706) 613-2600, FS, 96, 08-19-2020
SUMMER HILL RECREATION CLUB @ CHESTNUT HILL-MAIN OUTDOOR,"1020 CHESTNUT HILL RD ATHENS, GA 30606", (706) 353-9222, SP, 100, 08-19-2020
SUMMER HILL RECREATION CLUB @ CHESTNUT HILL-SPA 1,"1020 CHESTNUT HILL RD ATHENS, GA 30606", (706) 353-9222, SP, 100, 08-19-2020
SUMMER HILL RECREATION @ CHESTNUT SPA 2,"1020 CHESTNUT HILL RD ATHENS, GA 30677", (706) 353-9222, SP, 100, 08-19-2020
SUMMER HILL RECREATION @ CHESTNUT WADING,"1020 CHESTNUT HILL RD ATHENS, GA 30606", (706) 353-9222, SP, 100, 08-19-2020
SUMMER HILL RECREATION CLUB @ CHESTNUT HILL-INDOOR,"1020 CHESTNUT HILL RD ATHENS, GA 30606", (706) 353-9222, SP, 100, 08-19-2020
TAQUERIA DEL SOL - ATHENS,"334 PRINCE AVE ATHENS, GA 30601", (706) 353-3890, FS, 99, 08-18-2020
JOHNNY'S NEW YORK STYLE PIZZA,"1040 GAINES SCHOOL RD STE 219 ATHENS, GA 30605", (706) 354-1515, FS, 85, 08-18-2020
TACOS LOS PLEBES LLC,"675 DANIELSVILLE RD ATHENS, GA 30601", (706) 850-8077, FS, 94, 08-17-2020
J. CHRISTOPHER'S,"1650 S LUMPKIN ST ATHENS, GA 30606", (706) 850-3520, FS, 87, 08-14-2020
COFFEE & BAGELS AT SCOTT HALL,"104 SPEAR RD ATHENS, GA 30605",, FS, 100, 08-14-2020
BIG CITY BREAD,"393 N FINLEY ST A ATHENS, GA 30601", (706) 353-0029, FS, 93, 08-13-2020
SUBWAY,"1573 S LUMPKIN ST ATHENS, GA 30601", (706) 548-0080, FS, 91, 08-13-2020
NORTHEAST GEORGIA LIVESTOCK,"1200 WINTERVILLE RD ATHENS, GA 30605", (706) 549-4790, FS, 90, 08-12-2020
ZAXBY'S,"2100 BARNETT SHOALS RD ATHENS, GA 30605", (706) 546-4220, FS, 92, 08-12-2020
WENDY'S - BARNETT SHOALS,"1980 BARNETT SHOALS RD ATHENS, GA 30605", (706) 549-8190, FS, 91, 08-12-2020
ATHENS COUNTY CLUB INC.,"2700 JEFFERSON RD ATHENS, GA 30607", (706) 354-7100, FS, 94, 08-11-2020
NEDZAS,"1591 S LUMPKIN ST STE A ATHENS, GA 30606",, FS, 100, 08-11-2020
YMCA OUTDOOR POOL,"915 HAWTHORNE AVE ATHENS, GA 30606", (706) 543-6596, SP, 100, 08-11-2020
YMCA INDOOR POOL,"915 HAWTHORNE AVE ATHENS, GA 30606", (706) 543-6596, SP, 100, 08-11-2020
GOLDEN DRAGON RESTAURANT,"126 ALPS RD ATHENS, GA 30606", (706) 552-1688, FS, 90, 08-10-2020
WAFFLE HOUSE #1905,"4881 ATLANTA HWY ATHENS, GA 30606", (770) 725-6322, FS, 89, 08-10-2020
FRIENDSHIP RECREATION CLUB,"8530 N MACON HWY ATHENS, GA 30606", (706) 255-9531, SP, 94, 08-10-2020
ATHENS COUNTRY CLUB - POOL KITCHEN,"2700 JEFFERSON RD ATHENS, GA 30607", (706) 354-7100, FS, 90, 08-07-2020
EL AZTECA MEXICAN RESTAURANT,"430 EAST CLAYTON STREET ATHENS, GA 30601", (706) 850-8426, FS, 87, 08-07-2020
ATHENS RIDGE TOWNHOMES-MAIN,"1000 REDWOOD LN ATHENS, GA 30606", (706) 548-3244, SP, 98, 08-07-2020
ATHENS RIDGE TOWNHOMES-LAZY RIVER,"1000 REDWOOD LN ATHENS, GA 30606", (706) 548-3244, SP, 94, 08-07-2020
ATHENS RIDGE-SPA,"1000 REDWOOD LN ATHENS, GA 30606", (706) 548-3244, SP, 100, 08-07-2020
SUMMIT OF ATHENS POOL #1 (WADING),"1035 BARNETT SHOALS RD ATHENS, GA 30605", (706) 546-0600, SP, 100, 08-07-2020
SUMMIT OF ATHENS POOL #2 (MIDDLE),"1035 BARNETT SHOALS RD ATHENS, GA 30605", (706) 546-0600, SP, 100, 08-07-2020
SUMMIT OF ATHENS POOL #3 (MAIN),"1035 BARNETT SHOALS RD ATHENS, GA 30605", (706) 546-0600, SP, 100, 08-07-2020
ATHENS COUNTRY CLUB (WADING POOL),"2700 JEFFERSON RD ATHENS, GA 30607", (706) 354-7100, SP, 100, 08-07-2020
ATHENS COUNTRY CLUB MAIN POOL,"2700 JEFFERSON RD ATHENS, GA 30607", (706) 354-7114, SP, 100, 08-07-2020
THE HIGHLANDS AT WOODLAKE,"101 WOODLAKE DR ATHENS, GA 30606", (706) 543-6936, SP, 100, 08-06-2020
WESTSIDE COMMONS POOL,"205 WESTCHESTER DR #1 ATHENS, GA 30606", (706) 549-0180, SP, 100, 08-05-2020
THE HAVEN OF ATHENS,"120 QUAIL HOLLOW ATHENS, GA 30605",, SP, 100, 08-05-2020
CATCH 22 FOOD TRUCK - ATHENS,"1021 PARKWAY BLVD STE 117 ATHENS, GA 30606",, FS, 100, 08-05-2020
LITTLE ITALY,"125 N LUMPKIN ST ATHENS, GA 30601", (706) 613-7100, FS, 83, 08-04-2020
THE CAFE ON LUMPKIN,"1700 S LUMPKIN ST ATHENS, GA 30606",, FS, 100, 08-04-2020
TRUMPS CATERING,"2026 S MILLEDGE AVE STE B ATHENS, GA 30605", (706) 546-1320, FS, 92, 08-03-2020
CAPTAIN D'S,"425 PRINCE AVE ATHENS, GA 30601", (706) 548-8380, FS, 87, 07-31-2020
WHISTLEBURY CONDOMINIUMS #1,"85 NORTH AVE ATHENS, GA 30601", (706) 543-0320, SP, 100, 07-31-2020
WHISTLEBURY CONDOMINIUMS #2,"86 NORTH AVE ATHENS, GA 30601", (706) 543-0320, SP, 100, 07-31-2020
CALI N TITO'S,"1245 CEDAR SHOALS DR ATHENS, GA 30605", (706) 355-7087, FS, 86, 07-30-2020
STARBUCKS COFFEE #29212,"196 ALPS RD STE 45A ATHENS, GA 30606", (706) 549-1418, FS, 91, 07-29-2020
THE TACO STAND,"2230 S BARNETT SHOALS RD ATHENS, GA 30605", (706) 549-5481, FS, 98, 07-29-2020
EDDIE'S CALZONES,"227 E CLAYTON ST ATHENS, GA 30601", (706) 549-9676, FS, 100, 07-29-2020
PAPA JOHN'S PIZZA,"3620 ATLANTA HIGHWAY Suite 100 ATHENS, GA 30606-3163", (845) 356-8390 ext., FS, 95, 07-24-2020
COUNTRY CORNERS MHC,"1495 N US 29 HWY ATHENS, GA 30601", (706) 548-2315, SP, 100, 07-24-2020
GLENVIEW AMENITY POOL,"850 MACON HWY ATHENS, GA 30606", (678) 628-4678, SP, 100, 07-23-2020
FOUNDERS GROVE HOA,"1101 FOUNDERS BLVD ATHENS, GA 30606", (706) 546-0600, SP, 94, 07-22-2020
LAKE WELBROOK,"1000 LAKE WELBROOK DR ATHENS, GA 30606", (706) 207-7118, SP, 90, 07-22-2020
EAST ATHENS POOL MAIN,"400 MCKINLEY DR ATHENS, GA 30606", (706) 613-3800, SP, 100, 07-21-2020
LAY PARK POOL,"297 HOYT ST ATHENS, GA 30606", (706) 613-3800, SP, 100, 07-21-2020
LAY PARK-WADING POOL,"297 HOYT ST ATHENS, GA 30606", (706) 613-3596, SP, 100, 07-21-2020
TRAIL CREEK SPLASH PAD,"200 TRAIL ST ATHENS, GA 30605", (706) 208-0185, SP, 100, 07-21-2020
CRAVINGS!,"480 E BROAD ST 101 ATHENS, GA 30601",, FS, 100, 07-16-2020
RED OAK VILLAGE,"232 EPPS BRIDGE RD ATHENS, GA 30606",, SP, 93, 07-15-2020
MEMORIAL PARK POOL,"293 GRAN ELLEN DR ATHENS, GA 30606", (706) 613-3800, SP, 100, 07-15-2020
ROCKSPRINGS PARK POOL,"291 HENDERSON EXT ATHENS, GA 30601", (706) 613-3025, SP, 100, 07-15-2020
ROCKSPRINGS PARK SPLASH PAD,"291 HENDERSON EXT ATHENS, GA 30601",, SP, 100, 07-15-2020
TAQUERIA MI TIERRA II,"11661 COMMERCE ROAD ATHENS, GA 30607", (706) 207-0619, FS, 81, 07-11-2020
TAQUERIA MI TIERRA,"11661 COMMERCE ROAD ATHENS, GA 30607", (706) 207-0619, FS, 86, 07-11-2020
BROOKEWOOD MILL CONDO ASSOCIATION,"660 BARNETT SHOALS RD ATHENS, GA 30605",, SP, 100, 07-10-2020
POLO CLUB (POOL),"110 INTERNATIONAL DR ATHENS, GA 30605", (706) 549-2058, SP, 95, 07-09-2020
WHISTLEBURY WALK,"325 WILLOW ST ATHENS, GA 30601", (706) 543-0320, SP, 100, 07-09-2020
GEORGIA TRADITIONS SPA A #1 DBA 755 BROAD,"755 E BROAD ST ATHENS, GA 30601", (706) 850-6787, SP, 100, 07-09-2020
GEORGIA TRADITIONS SPA B #2 DBA 755 BROAD ST,"755 E BROAD ST ATHENS, GA 30601", (706) 850-6787, SP, 100, 07-09-2020
HOOK & REEL,"3640 ATLANTA HIGHWAY ATHENS, GA 30606",, FS, 96, 07-09-2020
ORCHARD AT ATHENS,"2750 ATLANTA HWY ATHENS, GA 30606",, FS, 100, 07-02-2020
THE ORCHARD AT ATHENS,"60 WOODSONG AVE ATHENS, GA 30605", (706) 850-7740, SP, 91, 07-02-2020
HAMPTON INN,"2220 W BROAD ST ATHENS, GA 30606", (706) 548-9600, SP, 100, 07-01-2020
WINDSOR PLACE,"595 MACON HWY ATHENS, GA 30606", (706) 546-0600, SP, 98, 07-01-2020
MOLLY'S COFFEE COMPANY,"8830 MACON HWY STE 100 ATHENS, GA 30606", (706) 587-7062, FS, 100, 06-30-2020
THE BLUFFS AT EPPS BRIDGE,"195 EPPS BRIDGE RD ATHENS, GA 30606", (706) 546-9000, SP, 100, 06-30-2020
GEORGETOWN CONDO WEST,"220 GEORGETOWN DR ATHENS, GA 30605",, SP, 100, 06-30-2020
HOWARD JOHNSON POOL,"2465 W BROAD ST ATHENS, GA 30606", (706) 548-1111, SP, 100, 06-26-2020
UNIVERSITY OAKS - (CABANA) LARGE,"2360 W BROAD ST ATHENS, GA 30606", (706) 548-1148, SP, 98, 06-25-2020
MILLEDGE PLACE CONDOS,"2145 S MILLEDGE AVE ATHENS, GA 30606", (706) 460-0600, SP, 99, 06-25-2020
STONECREST CONDOMINIUMS,"145 NORTH AVE ATHENS, GA 30601", (706) 850-7727, SP, 98, 06-25-2020
THE PARK AT ATHENS - LAKESIDE (MAIN POOL),"1000 LAKESIDE DR ATHENS, GA 30605", (706) 369-1010, SP, 98, 06-25-2020
THE PARK AT ATHENS HILLSIDE,"425 RIVERBEND PKWY ATHENS, GA 30605", (706) 715-3900, SP, 98, 06-25-2020
SERENE AT WOODLAKE,"132 WOODLAKE DR #206 ATHENS, GA 30606", (706) 613-0505, SP, 100, 06-24-2020
STACKED SANDWICHES & MORE,"720 BAXTER ST ATHENS, GA 30605",, FS, 96, 06-24-2020
BRIGHTON PARK,"4315 LEXINGTON RD ATHENS, GA 30605",, SP, 100, 06-24-2020
SHOAL CREEK APTS,"1090 BARNETT SHOALS RD ATHENS, GA 30605", (706) 850-7727, SP, 100, 06-23-2020
BUBBLE CAFE,"247 E BROAD ST ATHENS, GA 30601", (706) 355-3002, FS, 96, 06-23-2020
SWEETWATER PLANTATION,"250 CLEVELAND RD UNIT 430 ATHENS, GA 30606", (706) 548-0939, SP, 100, 06-19-2020
LUMPKIN PLACE,"2375 S LUMPKIN ST ATHENS, GA 30606", (706) 546-0300, SP, 100, 06-19-2020
1287 SHOALS APARTMENTS,"1287 CEDAR SHOALS RD ATHENS, GA 30605", (706) 217-3017, SP, 96, 06-18-2020
STADIUM VILLAGE APARTMENTS POOL,"250 LITTLE ST ATHENS, GA 30605", (706) 546-0600, SP, 100, 06-18-2020
HAMPTON HEIGHTS POOL,"170 HAMPTON PARK ATHENS, GA 30606",, SP, 91, 06-17-2020
UNIVERSITY OAKS SMALL POOL,"2360 W BROAD ST ATHENS, GA 30606", (706) 850-2750, SP, 100, 06-16-2020
ARCH + VINE APARTMENTS,"105 OAK HILL DR ATHENS, GA 30601", (706) 369-9936, SP, 98, 06-16-2020
JAMESTOWN APTS,"1909 S MILLEDGE AVE ATHENS, GA 30605", (706) 613-9001, SP, 96, 06-16-2020
MOOSE CLUB CONDOS,"101 DAVIS ST ATHENS, GA 30606", (706) 546-0600, SP, 99, 06-16-2020
CAROUSEL VILLAGE APTS,"1907 S MILLEDGE AVE ATHENS, GA 30605", (706) 548-1132, SP, 99, 06-12-2020
BISHOP PARK MAIN POOL,"706 SUNSET DR ATHENS, GA 30606", (706) 613-3589, SP, 100, 06-12-2020
ARBOR CREEK APARTMENTS,"155 INTERNATIONAL DR ATHENS, GA 30605", (706) 540-7269, SP, 99, 06-11-2020
GREEN ACRES WADING POOL,"635 BROOKWOOD DR ATHENS, GA 30605",, SP, 99, 06-11-2020
GREEN ACRES CRESTWOOD MAIN POOL,"635 BROOKWOOD DR ATHENS, GA 30605",, SP, 99, 06-11-2020
OAK GROVE - MAIN,"350 ADDISON RD ATHENS, GA 30607",, SP, 100, 06-11-2020
OAK GROVE - WADING,"350 ADDISON RD ATHENS, GA 30607",, SP, 100, 06-11-2020
YWCO - MAIN,"532 RESEARCH DR ATHENS, GA 30605", (706) 354-7880, SP, 100, 06-11-2020
COBBHAM OAKS,"920 W HANCOCK ST ATHENS, GA 30606", (706) 353-1039, SP, 100, 06-11-2020
BEECHWOOD PINES APARTMENTS,"110 PINYON PINES CIR ATHENS, GA 30606", (706) 548-0110, SP, 100, 06-10-2020
APPLEBY MEWS,"290 APPLEBY DR ATHENS, GA 30605", (706) 546-0600, SP, 100, 06-10-2020
DEARING COURTYARD CONDOMINIUMS,"550 DEARING ST ATHENS, GA 30605", (706) 546-0600, SP, 100, 06-09-2020
ACCENT ATHENS,"100 STILL CREEK LN ATHENS, GA 30605",, SP, 92, 06-09-2020
GEORGIA GREEN HPI ATHENS,"700 FOURTH ST ATHENS, GA 30601",, SP, 93, 06-08-2020
SCARBOROUGH PLACE POOL,"345 RESEARCH DR ATHENS, GA 30605", (706) 224-2261, SP, 100, 06-08-2020
THE ROWDY GOOSE,"364 E BROAD ST ATHENS, GA 30601",, FS, 100, 06-06-2020
BRIDGEWATER SWIMMING POOL,"230 BRIDGEWATER CIR ATHENS, GA 30601",, SP, 100, 06-04-2020
THE MARK - POOL,"315 OCONEE ST ATHENS, GA 30601", (706) 543-1910, SP, 100, 06-04-2020
THE MARK - SPA A,"315 OCONEE ST ATHENS, GA 30601", (706) 543-1910, SP, 100, 06-04-2020
THE MARK - SPA B,"315 OCONEE ST ATHENS, GA 30601", (706) 543-1910, SP, 100, 06-04-2020
THE LODGE OF ATHENS,"211 NORTH AVE ATHENS, GA 30606", (706) 549-1700, SP, 97, 06-04-2020
FALLING SHOALS,"117 FALLING SHOALS DR ATHENS, GA 30605", (706) 546-0600, SP, 100, 06-04-2020
TOWNE CLUB CONDOMINIUMS,"260 SPRINGDALE ST ATHENS, GA 30606", (706) 546-5610, SP, 100, 06-04-2020
GEORGIA HEIGHTS APARTMENTS SPA,"150 W BROAD ATHENS, GA 30601",, SP, 93, 06-03-2020
THE RESERVE AT ATHENS,"175 INTERNATIONAL DR ATHENS, GA 30605", (706) 548-4400, SP, 97, 06-03-2020
WOODHAVEN HOME OWNER'S ASSOCIATION,"508 WOODHAVEN WAY ATHENS, GA 30606", (706) 202-0587, SP, 95, 06-03-2020
CAMBRIDGE APARTMENTS,"360 PICADILLY SQUARE ATHENS, GA 30605", (706) 548-1199, SP, 99, 06-03-2020
TOWNS WALK,"297 TOWNSHIP LN ATHENS, GA 30606", (706) 850-6474, SP, 99, 06-03-2020
PLAYERS CLUB WEST POOL,"400 RIVERBEND PKWY ATHENS, GA 30605", (706) 369-0772, SP, 99, 06-03-2020
CROSS CREEK APARTMENTS,"610 RIVERBEND PKWY ATHENS, GA 30605", (706) 543-8505, SP, 100, 06-02-2020
THE FLATS AT CARRS HILL,"592 OCONEE ST ATHENS, GA 30605",, SP, 95, 06-02-2020
909 BROAD STREET APARTMENTS POOL,"909 E BROAD ST ATHENS, GA 30601",, SP, 100, 06-02-2020
SURREY SQUARE POOL,"350 RIVERBEND PKWY ATHENS, GA 30605", (706) 543-8505, SP, 99, 06-02-2020
RIVERBEND EAST CONDO ASSOCIATION,"515 RIVERBEND PKWY ATHENS, GA 30605", (706) 548-9926, SP, 98, 06-02-2020
THE CONNECTION AT ATHENS (A)(LAP),"255 THE PRESERVE DR ATHENS, GA 30606", (706) 548-2400, SP, 100, 06-01-2020
THE CONNECTION AT ATHENS (B)(VOLLEYBALL),"255 THE PRESERVE DR ATHENS, GA 30606", (706) 548-2400, SP, 100, 06-01-2020
THE CONNECTION AT ATHENS (C)(FOUNTAIN),"255 THE PRESERVE DR ATHENS, GA 30606", (706) 548-2400, SP, 100, 06-01-2020
THE CONNECTION AT ATHENS (D)(BASKETBALL),"255 THE PRESERVE DR ATHENS, GA 30606", (706) 548-2400, SP, 100, 06-01-2020
COLUMBIA BROOKSIDE III,"1000 SUMMERBROOK CIR ATHENS, GA 30606", (706) 850-9675, SP, 100, 06-01-2020
LEGACY OF ATHENS,"100 ASHLEY CIR ATHENS, GA 30605", (706) 548-1353, SP, 100, 05-29-2020
ARBOR RIDGE APARTMENTS,"150 CHATEAU TER ATHENS, GA 30606", (706) 546-0610, SP, 98, 05-28-2020
THE COLUMNS OF TIMOTHY WOODS,"2035 TIMOTHY RD ATHENS, GA 30606", (706) 548-7747, SP, 93, 05-28-2020
EAGLEWOOD CONDOS,"145 EAGLEWOOD WAY ATHENS, GA 30606",, SP, 100, 05-28-2020
MCNUTT CREEK POOL,"120 MANORHAVEN CT ATHENS, GA 30606",, SP, 100, 05-28-2020
RIVERBEND CLUB APARTMENTS POOL,"355 RIVERBEND PKWY ATHENS, GA 30605", (706) 369-0772, SP, 100, 05-27-2020
MANOR LAKE ASSISTED LIVING & MEMORY CARE,"925 US 29 HWY ATHENS, GA 30601",, FS, 100, 05-26-2020
THE STANDARD,"600 N THOMAS ST ATHENS, GA 30601", (706) 355-9997, SP, 95, 05-26-2020
ASHTON PLACE POOL,"101 ASHBROOK DR ATHENS, GA 30605", (706) 424-9112, SP, 99, 05-22-2020
FAIRWAYS AT JENNINGS MILL APTS,"355 JENNINGS MILL PKWY ATHENS, GA 30606", (706) 552-1244, SP, 100, 05-21-2020
HIGH RIDGE APARTMENTS,"700 MITCHELL BRIDGE RD ATHENS, GA 30606", (706) 549-2303, SP, 100, 05-21-2020
DRAYTON SQUARE CONDO POOL,"147 S STRATFORD ATHENS, GA 30605",, SP, 100, 05-21-2020
STRATFORD CONDO,"43 S STRATFORD DR ATHENS, GA 30605", (704) 576-7960, SP, 100, 05-21-2020
GREYSTONE HOA,"109 ROCKFORD DR ATHENS, GA 30605",, SP, 99, 05-20-2020
THOMPSON FARM INC,"1505 MORTON FARM RD ATHENS, GA 30605", (706) 202-3714, SP, 100, 05-20-2020
WESTGATE PARK POOL,"6325 JEFFERSON RD ATHENS, GA 30607", (706) 540-5822, SP, 100, 05-15-2020
RIVER CLUB APARTMENTS (BEHRINGER),"1005 MACON HWY ATHENS, GA 30606", (706) 543-4400, SP, 100, 05-15-2020
THE TOWNHOMES AT RIVER CLUB (BEHRINGER),"400 TIMOTHY RD ATHENS, GA 30606", (706) 395-3570, SP, 100, 05-15-2020
SHANE'S RIB SHACK,"680 US HWY 29 NORTH STE #200 ATHENS, GA 30601",, FS, 98, 05-12-2020
BULLDOG HOT SUBS,"3700 ATLANTA HWY STE 200 ATHENS, GA 30606", (404) 314-4548, FS, 100, 05-11-2020
OUR DAILY BREAD COMMUNITY KITCHEN,"355 PULASKI ST ATHENS, GA 30601", (706) 559-4426, FS, 100, 03-16-2020
SOUND TRACK,"321 E CLAYTON ST ATHENS, GA 30601", (678) 897-3919, FS, 100, 03-13-2020
